STREET,CITY,POSTCODE,STATE,COUNTRY
HARNESS TRLR CT CT S,CASSELTON,58012,NORTH DAKOTA,USA
CO RD   10,MAPLETON,58059,NORTH DAKOTA,USA
MAPLE POINTE BLVD,MAPLETON,58059,NORTH DAKOTA,USA
MERIDIAN CIR,MAPLETON,58059,NORTH DAKOTA,USA
CHRISTENSEN CT,MAPLETON,58059,NORTH DAKOTA,USA
ASHLEY BLVD,MAPLETON,58059,NORTH DAKOTA,USA
MAPLE RIVER CT,MAPLETON,58059,NORTH DAKOTA,USA
HWY   81,GARDNER,58036,NORTH DAKOTA,USA
ELLINGSON RD,HARWOOD,58042,NORTH DAKOTA,USA
OLD HIGHWAY 18,ARTHUR,58006,NORTH DAKOTA,USA
CO RD   81   N,FARGO,58102,NORTH DAKOTA,USA
CO RD   17   N,FARGO,58102,NORTH DAKOTA,USA
BROADWAY   S,BUFFALO,58011,NORTH DAKOTA,USA
HWY   81   N,HARWOOD,58042,NORTH DAKOTA,USA
HORIZON CT,HORACE,58047,NORTH DAKOTA,USA
VISTA LN,HORACE,58047,NORTH DAKOTA,USA
PARK VIEW PL,MAPLETON,58059,NORTH DAKOTA,USA
PAUL BUNYAN CIR,HORACE,58047,NORTH DAKOTA,USA
P51 BLVD E,KINDRED,58051,NORTH DAKOTA,USA
CO RD   17  S,FARGO,58078,NORTH DAKOTA,USA
1ST AVE N,KINDRED,58051,NORTH DAKOTA,USA
AIRPORT RD,MAPLETON,58059,NORTH DAKOTA,USA
CO RD  81  N,ARGUSVILLE,58005,NORTH DAKOTA,USA
CO RD  17  S,HORACE,58047,NORTH DAKOTA,USA
HWY 18,ARTHUR,58006,NORTH DAKOTA,USA
CO RD  81  N,FARGO,58102,NORTH DAKOTA,USA
MAIN ST,CHAFFEE,58079,NORTH DAKOTA,USA
ARTHUR CT,ARTHUR,58006,NORTH DAKOTA,USA
GOLD CT,MAPLETON,58059,NORTH DAKOTA,USA
AQUARIUS CT,HORACE,58047,NORTH DAKOTA,USA
MEMORY LN,HORACE,58047,NORTH DAKOTA,USA
CARROLL CT,HORACE,58047,NORTH DAKOTA,USA
HWY   38,PAGE,58064,NORTH DAKOTA,USA
LINDSEY CT,MAPLETON,58059,NORTH DAKOTA,USA
WALL AVE,HORACE,58047,NORTH DAKOTA,USA
SHEYENNE CT,HORACE,58047,NORTH DAKOTA,USA
WESTVIEW LN,OXBOW,58047,NORTH DAKOTA,USA
BRYNLEY BLVD,HORACE,58047,NORTH DAKOTA,USA
HWY   34,ARTHUR,58006,NORTH DAKOTA,USA
12TH AVE W,WEST FARGO,58078,NORTH DAKOTA,USA
EAGLEWOOD AVE W,WEST FARGO,58078,NORTH DAKOTA,USA
STENNES DR,HARWOOD,58042,NORTH DAKOTA,USA
CAROLYN DR,HARWOOD,58042,NORTH DAKOTA,USA
FAIRWAY DR,CASSELTON,58012,NORTH DAKOTA,USA
COTTONWOOD DR,CASSELTON,58012,NORTH DAKOTA,USA
MORNINGSIDE DR,CASSELTON,58012,NORTH DAKOTA,USA
VETERANS BLVD S,FARGO,58104,NORTH DAKOTA,USA
RIVER VIEW RD,FARGO,58104,NORTH DAKOTA,USA
UNIVERSITY DR S,HORACE,58047,NORTH DAKOTA,USA
ORCHARD PARK DR,FARGO,58104,NORTH DAKOTA,USA
HILLSIDE DR,FARGO,58104,NORTH DAKOTA,USA
ROUND HILL DR,FARGO,58104,NORTH DAKOTA,USA
PONDEROSA DR,HORACE,58047,NORTH DAKOTA,USA
RUSTAD DR,KINDRED,58051,NORTH DAKOTA,USA
WILLOW BEND DR,CASSELTON,58012,NORTH DAKOTA,USA
GOVERNORS DR,CASSELTON,58012,NORTH DAKOTA,USA
RUSTAD DR S,KINDRED,58051,NORTH DAKOTA,USA
CENTENNIAL DR,ARGUSVILLE,58005,NORTH DAKOTA,USA
LEONARDS WAY,ARGUSVILLE,58005,NORTH DAKOTA,USA
SUGAR DR,ARGUSVILLE,58005,NORTH DAKOTA,USA
LYNN DAWN DR,ARGUSVILLE,58005,NORTH DAKOTA,USA
INDUSTRIAL DR,GRANDIN,58038,NORTH DAKOTA,USA
IRONWOOD DR,HORACE,58047,NORTH DAKOTA,USA
CHESTNUT DR,HORACE,58047,NORTH DAKOTA,USA
NELSON DR,HORACE,58047,NORTH DAKOTA,USA
PARK DR E,HORACE,58047,NORTH DAKOTA,USA
PARK DR,HORACE,58047,NORTH DAKOTA,USA
MAUST WAY,HORACE,58047,NORTH DAKOTA,USA
ARROWWOOD DR,HORACE,58047,NORTH DAKOTA,USA
BRINK DR,HORACE,58047,NORTH DAKOTA,USA
SUNNYSIDE DR,HORACE,58047,NORTH DAKOTA,USA
LAKEVIEW DR,HORACE,58047,NORTH DAKOTA,USA
NORTHWOOD DR,HORACE,58047,NORTH DAKOTA,USA
SOUTHWOOD DR,HORACE,58047,NORTH DAKOTA,USA
SUNSET DR,HORACE,58047,NORTH DAKOTA,USA
SUNSET DR,MAPLETON,58059,NORTH DAKOTA,USA
SUNRISE DR,MAPLETON,58059,NORTH DAKOTA,USA
SEQUOIA DR,MAPLETON,58059,NORTH DAKOTA,USA
MAPLE DR,MAPLETON,58059,NORTH DAKOTA,USA
BROOKTREE DR,HARWOOD,58042,NORTH DAKOTA,USA
HANGGI DR,HARWOOD,58042,NORTH DAKOTA,USA
NYLAND DR,HARWOOD,58042,NORTH DAKOTA,USA
WOODLAWN DR,KINDRED,58051,NORTH DAKOTA,USA
PFIFFER DR,HORACE,58047,NORTH DAKOTA,USA
PAUL BUNYAN DR,HORACE,58047,NORTH DAKOTA,USA
KLITZKE DR,HORACE,58047,NORTH DAKOTA,USA
ELM DR,HARWOOD,58042,NORTH DAKOTA,USA
NORTHWOOD DR,FARGO,58102,NORTH DAKOTA,USA
UNIVERSITY DR S,FARGO,58104,NORTH DAKOTA,USA
RIVER DR S,FARGO,58104,NORTH DAKOTA,USA
UNIVERSITY DR S,FARGO,58047,NORTH DAKOTA,USA
COSSETTE DR,FARGO,58104,NORTH DAKOTA,USA
LIBRA LN,FARGO,58104,NORTH DAKOTA,USA
AQUARIUS DR,FARGO,58104,NORTH DAKOTA,USA
CHRISAN BLVD,FARGO,58104,NORTH DAKOTA,USA
CHRISAN WAY,FARGO,58104,NORTH DAKOTA,USA
FOREST RIVER RD,FARGO,58104,NORTH DAKOTA,USA
SCORPIO CIR,FARGO,58104,NORTH DAKOTA,USA
SAGITTARIUS CIR,FARGO,58104,NORTH DAKOTA,USA
GEMINI CIR,FARGO,58104,NORTH DAKOTA,USA
W PONDEROSA DR,HORACE,58047,NORTH DAKOTA,USA
RIVERDALE DR,HORACE,58047,NORTH DAKOTA,USA
WEST BROOK DR,HORACE,58047,NORTH DAKOTA,USA
RIVER DR,NORTH RIVER,58102,NORTH DAKOTA,USA
CHAPIN DR,HARWOOD,58042,NORTH DAKOTA,USA
